COL.ID,SEASON,SITE,SPECIES,TOTAL
WT-PD1,1_SM18,WT,PA,171.6119861
WT-PD3,1_SM18,WT,PA,189.8327219
WT-PD5,1_SM18,WT,PA,198.298095
WT-PD7,1_SM18,WT,PA,172.6568744
WT-PD9,1_SM18,WT,PA,178.2856308
WT-PD10,1_SM18,WT,PA,229.7570152
WT-PD1,2_FL,WT,PA,240.3891886
WT-PD3,2_FL,WT,PA,164.2326454
WT-PD7,2_FL,WT,PA,115.4214071
WT-PD9,2_FL,WT,PA,268.2435974
WT-PD10,2_FL,WT,PA,362.932065
WT-PD11,2_FL,WT,PA,261.2951111
WT-PD13,2_FL,WT,PA,338.6482448
WT-PD3,3_WNT,WT,PA,371.2604671
WT-PD7,3_WNT,WT,PA,349.1328898
WT-PD10,3_WNT,WT,PA,281.6699436
WT-PD11,3_WNT,WT,PA,302.8729883
WT-PD13,3_WNT,WT,PA,374.3392636
WT-PD15,3_WNT,WT,PA,369.149107
WT-PD16,3_WNT,WT,PA,313.2640958
WT-PD3,4_SP,WT,PA,470.805342
WT-PD7,4_SP,WT,PA,181.7921267
WT-PD10,4_SP,WT,PA,209.685151
WT-PD11,4_SP,WT,PA,243.6831203
WT-PD13,4_SP,WT,PA,197.0362782
WT-PD15,4_SP,WT,PA,204.4959898
WT-PD16,4_SP,WT,PA,252.795644
WT-PD7,5_SM19,WT,PA,223.2483434
WT-PD10,5_SM19,WT,PA,162.2741115
WT-PD11,5_SM19,WT,PA,178.5151593
WT-PD13,5_SM19,WT,PA,237.4976995
WT-PD15,5_SM19,WT,PA,235.5198888
WT-PD16,5_SM19,WT,PA,163.2684728
OT-PD1,1_SM18,OT,PA,66.94345061
OT-PD2,1_SM18,OT,PA,110.9872908
OT-PD5,1_SM18,OT,PA,140.1707585
OT-PD7,1_SM18,OT,PA,80.49055427
OT-PD9,1_SM18,OT,PA,161.147118
OT-PD10,1_SM18,OT,PA,118.7487328
OT-PD1,2_FL,OT,PA,352.7142999
OT-PD2,2_FL,OT,PA,978.2803854
OT-PD5,2_FL,OT,PA,362.1797425
OT-PD7,2_FL,OT,PA,500.4377557
OT-PD9,2_FL,OT,PA,348.0208617
OT-PD10,2_FL,OT,PA,451.6038363
OT-PD1,3_WNT,OT,PA,260.9801525
OT-PD2,3_WNT,OT,PA,420.0174448
OT-PD5,3_WNT,OT,PA,272.0914022
OT-PD7,3_WNT,OT,PA,237.5854892
OT-PD9,3_WNT,OT,PA,292.8724576
OT-PD10,3_WNT,OT,PA,295.07006
OT-PD1,4_SP,OT,PA,370.700112
OT-PD2,4_SP,OT,PA,262.3569108
OT-PD5,4_SP,OT,PA,202.8422184
OT-PD7,4_SP,OT,PA,340.3928651
OT-PD9,4_SP,OT,PA,373.2699102
OT-PD10,4_SP,OT,PA,411.7479116
OT-PD1,5_SM19,OT,PA,259.7692066
OT-PD2,5_SM19,OT,PA,189.0694332
OT-PD5,5_SM19,OT,PA,234.8473281
OT-PD7,5_SM19,OT,PA,208.6330646
OT-PD9,5_SM19,OT,PA,205.2318054
OT-PD10,5_SM19,OT,PA,186.9393088
OT-AN5,1_SM18,OT,AN,188.5570473
OT-AN8,1_SM18,OT,AN,159.6037591
OT-AN9,1_SM18,OT,AN,180.6652314
OT-AN10,1_SM18,OT,AN,229.4556223
OT-AN12,1_SM18,OT,AN,309.0290968
OT-AN13,1_SM18,OT,AN,164.971725
OT-AN5,2_FL,OT,AN,465.1472437
OT-AN8,2_FL,OT,AN,249.3445118
OT-AN9,2_FL,OT,AN,274.4320017
OT-AN10,2_FL,OT,AN,392.9728109
OT-AN12,2_FL,OT,AN,237.3542583
OT-AN13,2_FL,OT,AN,286.8624538
OT-AN5,3_WNT,OT,AN,202.4900835
OT-AN8,3_WNT,OT,AN,175.0873067
OT-AN9,3_WNT,OT,AN,204.5180446
OT-AN10,3_WNT,OT,AN,176.329785
OT-AN12,3_WNT,OT,AN,201.3338267
OT-AN13,3_WNT,OT,AN,207.4226564
OT-AN5,4_SP,OT,AN,195.8933193
OT-AN8,4_SP,OT,AN,194.4320581
OT-AN9,4_SP,OT,AN,335.2594972
OT-AN10,4_SP,OT,AN,537.2742081
OT-AN12,4_SP,OT,AN,80.02059977
OT-AN13,4_SP,OT,AN,175.8784703
OT-AN5,5_SM19,OT,AN,138.8081825
OT-AN8,5_SM19,OT,AN,221.6450869
OT-AN9,5_SM19,OT,AN,256.555003
OT-AN10,5_SM19,OT,AN,281.3417183
OT-AN12,5_SM19,OT,AN,142.6113638
OT-AN13,5_SM19,OT,AN,210.076828
WT-AN1,1_SM18,WT,AN,162.9924087
WT-AN3,1_SM18,WT,AN,215.7042894
WT-AN5,1_SM18,WT,AN,349.7563806
WT-AN6,1_SM18,WT,AN,205.0183611
WT-AN7,1_SM18,WT,AN,281.1764291
WT-AN8,1_SM18,WT,AN,121.4436636
WT-AN1,2_FL,WT,AN,356.7301899
WT-AN3,2_FL,WT,AN,189.0836019
WT-AN5,2_FL,WT,AN,378.7962346
WT-AN6,2_FL,WT,AN,345.9383927
WT-AN7,2_FL,WT,AN,156.2072067
WT-AN8,2_FL,WT,AN,184.8858781
WT-AN1,3_WNT,WT,AN,201.9146882
WT-AN3,3_WNT,WT,AN,192.4951326
WT-AN5,3_WNT,WT,AN,218.3523722
WT-AN6,3_WNT,WT,AN,192.6936588
WT-AN7,3_WNT,WT,AN,178.4611852
WT-AN8,3_WNT,WT,AN,185.2976021
WT-AN1,4_SP,WT,AN,203.2374564
WT-AN3,4_SP,WT,AN,101.5115669
WT-AN5,4_SP,WT,AN,168.6298806
WT-AN6,4_SP,WT,AN,102.9933668
WT-AN7,4_SP,WT,AN,138.5162987
WT-AN8,4_SP,WT,AN,125.0248584
WT-AN1,5_SM19,WT,AN,128.563397
WT-AN3,5_SM19,WT,AN,183.1614834
WT-AN6,5_SM19,WT,AN,115.8105881
WT-AN8,5_SM19,WT,AN,270.0503808
WT-AN11,5_SM19,WT,AN,110.7955234
WT-AN14,5_SM19,WT,AN,120.5620726
OT-PL1,1_SM18,OT,PL,65.98944392
OT-PL4,1_SM18,OT,PL,332.3180809
OT-PL5,1_SM18,OT,PL,72.99342488
OT-PL6,1_SM18,OT,PL,186.2234572
OT-PL8,1_SM18,OT,PL,114.1815522
OT-PL9,1_SM18,OT,PL,401.8970432
OT-PL1,2_FL,OT,PL,88.86063673
OT-PL4,2_FL,OT,PL,331.4762118
OT-PL5,2_FL,OT,PL,151.7479887
OT-PL6,2_FL,OT,PL,255.4975081
OT-PL8,2_FL,OT,PL,220.9712671
OT-PL9,2_FL,OT,PL,673.9388524
OT-PL1,3_WNT,OT,PL,212.5703439
OT-PL4,3_WNT,OT,PL,124.8638802
OT-PL5,3_WNT,OT,PL,56.04998342
OT-PL6,3_WNT,OT,PL,116.5247516
OT-PL8,3_WNT,OT,PL,128.0687333
OT-PL9,3_WNT,OT,PL,169.1443491
OT-PL1,4_SP,OT,PL,76.19171628
OT-PL4,4_SP,OT,PL,235.7859215
OT-PL5,4_SP,OT,PL,108.3869907
OT-PL6,4_SP,OT,PL,187.7387184
OT-PL8,4_SP,OT,PL,100.2310404
OT-PL9,4_SP,OT,PL,208.3780834
OT-PL1,5_SM19,OT,PL,107.9800867
OT-PL4,5_SM19,OT,PL,213.7684875
OT-PL5,5_SM19,OT,PL,198.1856127
OT-PL6,5_SM19,OT,PL,209.0152441
OT-PL8,5_SM19,OT,PL,157.9168114
OT-PL9,5_SM19,OT,PL,154.7294765
WT-PL1,1_SM18,WT,PL,166.7290319
WT-PL2,1_SM18,WT,PL,202.2310497
WT-PL3,1_SM18,WT,PL,229.9108868
WT-PL4,1_SM18,WT,PL,133.6136229
WT-PL6,1_SM18,WT,PL,148.2581404
WT-PL10,1_SM18,WT,PL,174.7236811
WT-PL1,2_FL,WT,PL,142.7015755
WT-PL2,2_FL,WT,PL,172.2930716
WT-PL3,2_FL,WT,PL,162.4135067
WT-PL4,2_FL,WT,PL,107.3372113
WT-PL6,2_FL,WT,PL,112.9509159
WT-PL10,2_FL,WT,PL,169.3893067
WT-PL1,3_WNT,WT,PL,212.3976193
WT-PL2,3_WNT,WT,PL,162.6514651
WT-PL3,3_WNT,WT,PL,165.5189027
WT-PL4,3_WNT,WT,PL,125.8174234
WT-PL6,3_WNT,WT,PL,146.8530996
WT-PL10,3_WNT,WT,PL,183.5618132
WT-PL1,4_SP,WT,PL,166.5082948
WT-PL2,4_SP,WT,PL,167.0231236
WT-PL3,4_SP,WT,PL,111.6616019
WT-PL4,4_SP,WT,PL,67.22226407
WT-PL6,4_SP,WT,PL,103.4614131
WT-PL10,4_SP,WT,PL,116.7615471
WT-PL1,5_SM19,WT,PL,161.299551
WT-PL2,5_SM19,WT,PL,94.13842493
WT-PL3,5_SM19,WT,PL,64.45233698
WT-PL4,5_SM19,WT,PL,89.81323701
WT-PL6,5_SM19,WT,PL,166.0611608
WT-PL10,5_SM19,WT,PL,186.5946563
